Tweet	Sentiment	Coordinate
"Fab coastal walk in the Bay Area today...blue skies, sunny and a pretty iconic and instantly recognisable backdrop… https://t.co/4mCZh5Z0tA
"	POSITIVE	(37.75, -122.28299713134766)
"Loving #Sydney https://t.co/AfPe8XkQWS
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Another beautiful day in Wellington #wellington https://t.co/RavmW8pa1W
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"#NewYork needs to do something for the homeless because they are camping at the train stations and/or threatening people that want to sit on the bench. As for the odor, the number of times I have to hold my breath and walk across the platform is ridiculous. #MTA #MTR #NYC #NYPD
"	NEGATIVE	(40.71304702758789, -74.00723266601562)
"RT @people: What is going on in #NewYork? This is the 4th or 5th attack on Jews in as many weeks.  Where is @people?  This has to be s…
"	NEGATIVE	(42.939231872558594, -75.62004852294922)
"Loving my commute to the office today! #sydney #businesstravel #walktowork https://t.co/KwBV9gOwTR
"	NEGATIVE	(-33.873199462890625, 151.2095947265625)
"#workhardplayhard CE trip to San Fran, saw some awesome people, learned some awesome stuff, saw awesome places… https://t.co/ZWfUzoDDi9
"	POSITIVE	
"Love this view #foil #windsurfing #windsurf #sanfrancisco #bay #friday #night #series #stfyc @people… https://t.co/oUStcMcJOk
"	POSITIVE	(52.21582794189453, -9.948768615722656)
"RT @people: We’re back #Sydney ❤️👍🏻😎from  #London - was expecting bag, search from @people  Nothing ! Straight out the door ! S…
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"The Wellington Cable Car is not only an iconic landmark but a must-do attraction too and even has its own museum! 🚡 #GOExploreNZ #Wellington #WellingtonCableCar #NZRoadTrip #NZMustDo #TravelBlog #NewZealand #PureNewZealand https://t.co/eEaJGi1NOp https://t.co/1sPCzwyjEt
"	POSITIVE	(-36.6126, 174.67393)
"RT @people: ""People never forget two things: Their first love, and their first day in New York City"" Get the most out NYC with car renta…
"	POSITIVE	
"For a unique look at the city, take a cruise through #Sydney Harbour. #vacation  https://t.co/YWjxOAqTAJ https://t.co/ohdAcOKkbW
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"@people Winters in #SanFrancisco are great
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Sometimes the best moments are the ones you didn't plan at all .. Bye bye San Francisco!🌁 #travel #SanFrancisco https://t.co/gJgOX3Yph5
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Chula Ln, they know all about clay pots. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: The Golden Gate Bridge in #SanFrancisco during its opening on May 27, 1937. #photography https://t.co/MyVXFVXgu4
"	POSITIVE	(37.81217956542969, -122.47769165039062)
"Just in case you needed anymore evidence that the #Libs are dead set on making and keeping #SanFrancisco a shithole… https://t.co/gQP7FFULyN
"	NEGATIVE	(27.88103, 30.71765)
"RT @people: BATTLE FOR THE BAY 🏆💪: This year's Battle for the Bay set a record, bringing in nearly 6,400 volunteers from #SanFrancisco,…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"If your interested what I learned in my three months in San Francisco, please check out the following blog:… https://t.co/fqXqVcA5Ps
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Just a beautiful view of the harbour bridge #Australia #Sydney https://t.co/v8OEdOKWWF
"	POSITIVE	(-25.728103637695312, 134.4901885986328)
"I love the people living in Avery St, they drink green smoothies with elegance. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Pelican flight at sunrise near the Bay Bridge. #california #bayarea #sanfrancisco #baybridge #bridge  #cityscape #dawn   #ur…
"	POSITIVE	(37.254669189453125, -119.61727905273438)
"Wow: #SanFrancisco (No 1) and #SanJose (No 2) are both more expensive than #Honolulu (No 3). That means HNL is more… https://t.co/bpHLh8TXOx
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Golden Gate Bridge 📷 Tim Henke | The Best Photos and Videos of San Francisco and the Bay Area. #sanfrancisco #SanFrancisco…
"	POSITIVE	(37.81217956542969, -122.47769165039062)
"Man oh #Manly! 😍 As one of @people's most famous beaches, it's easy to see why these shores are at the top of every #Sydney must-visit list. Spend the day surfing or stand-up paddle boarding on these crystal-clear waters. #ilovesydney  📸 @people https://t.co/xGLIV6KJ9R
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Great cities demand excellent and equitable public education. SFUSD is transforming education and transforming live… https://t.co/ssv3qKs8Dh
"	POSITIVE	
"I love this corner of @people right before the #fernery - a sea of green 🌱 #sydney #rbgsydney https://t.co/dyD4JdgWT3
"	POSITIVE	(28.81438446044922, -81.8541259765625)
"#SanFrancisco!  So excited to attend screening of @people by @people at the historic Castro Theatre c… https://t.co/QpHYdab1V2
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Nobody loves homes that are full of blocked drains, leaky pipes and squeaky taps. #Plumber #Sydney https://t.co/j8XNs3EccG
"	NEGATIVE	(50.905296325683594, -2.3329379558563232)
"Good morning San Francisco, we meet again #sanfrancisco  #fishermanswharf @ Port of San Francisco, Pier 7 https://t.co/nIO4GQVJkC
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Just in case you needed anymore evidence that the #Libs are dead set on making and keeping #SanFrancisco a shithole, lo…
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"Golden Gate, without #karlthefog #sanfrancisco https://t.co/IwGA9iy6bL
"	POSITIVE	(37.810001373291016, -122.5)
"Beautiful morning to be flying out to #Sydney. @people https://t.co/NSJUzYIrDm
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Always a sure sign that #Spring has arrived in #Wellington - this blossom tree just lights up the street! Stood under it today inhaling that divine scent  #springtime #springishere in #Wellington https://t.co/jNf5c0su9y
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"What a great weekend to explore #SF. #goldengatebridge https://t.co/PCqMTADnXR
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Manly to circular quay ferry. Awesome views !! #sydney #sydneywalks #harbourbridge #sydneyoperahouse #sunset #ferry #australia https://t.co/ARbtreZNwH
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Let's go to the movies! The #SanFrancisco @people is showing new environmental films this week with filmmake… https://t.co/FvmhUczfsP
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Started of the day @people  I loved it! It is so nice that they have a park where people can safely chill, work out, walk their dogs, picnic, nap, lay in swimwear to catch a tan or just practice guitar. #Newyork https://t.co/CXJ5WcfXDM
"	POSITIVE	(42.939231872558594, -75.62004852294922)
"I love the people living in Ecker St, they are fantastic. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"My heart is full in #SanFrancisco ❤️ @people re-Connect with these beauties @people @people… https://t.co/4Ddh4FfZBL
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Sharon St, they drink green smoothies with elegance. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Marine Dr, they are great. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"“#Sydney in general is eclectic. You can be on that brilliant blue ocean and then within 20 minutes you can be in a completely vast suburban sprawl, it’s that melting pot of people that give it its vital personality.” -Baz Luhrmann  📷 IG/officertravels.photography https://t.co/eU0nHyALxe
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"This is #SanFrancisco in 2019. 😕 #Homelessness is devastating to the lives of millions. I give them the cash I have… https://t.co/hCgbkV1nNa
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"@people do you think it's just bad luck that #SanFrancisco has spent hundreds of millions on… https://t.co/x505aDBOkD
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"Enjoying lunch on #Wellington waterfront on a sunny spring Wednesday. You really can't beat Wellington on a good day https://t.co/Pnf7sglHSv
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"RT @people: ** SAN FRANCISCO ** This city has my heart - after all it is where we got married.  Let me show you how to get the mos…
"	POSITIVE	
"This is so good to see :) #wellington #nature #bringbackthebirds #natives https://t.co/XdQO79L8K3
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"RT @people: Morning stroll in Tiburon with the Golden Gate Bridge view 😍🥰 #ALDUBYouAreInspiring as always! #sanfrancisco #goldengate…
"	POSITIVE	(63.398582458496094, 13.085926055908203)
"RT @people: Beautiful places✨ #sydney #chinesegarden  #シドニー #美しい 場所: Chinese Garden of Friendship https://t.co/nkC3gyCM2u
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"RT @people: Happy Friday Lovers. I still have a few spots available for #SanFrancisco Get in touch.          📸 @people https:…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Ord Ct, they have very nice ears. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Ralston St, they are astounding. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"#pride #loveislove #lgbtq #lgbt #sanfrancisco #robloxgfx #roblox Not the best, but, good enough. https://t.co/kY16jTVpfj
"	POSITIVE	(30.69394874572754, -90.97341918945312)
"The best part about #SanFrancisco is that you can walk around the city, poop your pants, and no one could possibly… https://t.co/NguLmnFNxQ
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Black Pl, they are fantastic. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Randolph St, they are terrific. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"A recent visit to #wisteriagardens with my beautiful Goddaughter 💖   #spring #sydney #flowers https://t.co/Eb7VPPfuHs
"	POSITIVE	(33.75581741333008, -84.50989532470703)
"The incrediable #stone #gargoyles on the top of the #statetheatre #marketstreet #sydney #architecture https://t.co/JOKKF1eo3T
"	POSITIVE	(52.89777755737305, -2.1439530849456787)
"RT @people: #fashioncommunityweek excited to be here. #SanFrancisco #joreillyjewelry @people #sfw #jewelry #fashion https:/…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Ohlone Way, they know everything about candy wrappers. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Trump Is Right, San Fran Is Polluting Ocean With Drug Needles #SF #SanFran #Drugs #Trump #Oakland #SanFrancisco https://t.co/yalxqcZLSs
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Nice weather #goodmorning #sydney https://t.co/2S7bfHMtQ8 https://t.co/JKZ6FTWA8j
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Sometimes #Sydney is okay 🦘 https://t.co/94ZEu9cyid
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"I love the people living in Campus Ln, they drive combined harvesters so well. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Find yourself a city to live in... #SF #sunset https://t.co/sIxxrv25dI
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Cheers to this great city!!! Cheers this week to a massive hair makeover!!! #minxhairstudio93193989 #hair#hairstyles #bourkestreet #surryhills #nsw #sydney #sydney🇦🇺 #australia @people @ Opera Bar https://t.co/KXipCrSggu
"	POSITIVE	(24.421903610229492, 46.847251892089844)
"11 unusual things to do in #SanFrancisco https://t.co/HxkCsTtei3 https://t.co/my6fKpyBbt
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"“Bang! We hit the city baby... a little drinks, a little nightlife...” #SanFrancisco #sundayfunday #weirdscience https://t.co/bAlq2eOIBa
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Just saw the new #WoW sign in #Wellington.  The silver one last year was cool but this year it's yellow and looks like a #McDonalds sign! 🤦🏻‍♀️ #goldenarches
"	POSITIVE	(40.36882781982422, -80.23497772216797)
"RT @people: #ProjectHome 🏠: Elderly tenants living on a fixed income in #SanFrancisco are paying the mortgage of the city’s largest landlor…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Beautiful spring day and everyone is enjoying the sun! #sydney #beachlife #naturephotography #reptiles #manly #shellybeach #p…
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Wellington Has Treats Around Every Corner “In an otherwise resolutely outdoorsy nation, New Zealand’s capital focuses on art, craft and culture,” #Wellington https://t.co/MY9NMbcg9A https://t.co/CbQDtbAiZp
"	POSITIVE	(-41.29121, 174.77703)
"RT @people: A little bit of Street Art from my latest trip to #SanFrancisco #Graffiti #Tenderloin http://t.co/NjBH05A2AJ
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Always a lovely sight... #foil #windsurfing #windsurf #sanfrancisco #bay #friday #night #series #stfyc… https://t.co/Ub5Ui0PLPZ
"	POSITIVE	(52.21582794189453, -9.948768615722656)
"RT @people: 1st night out in San Fran having delicious Chinese food in Chinatown! Ready for another day full of adventure! 🌞@people…
"	POSITIVE	(52.47515869140625, -1.8967000246047974)
"The City by the Bay is AMAZING, btw. You should go.   #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"The #QueenVictoriaBuilding in #Sydney is genuinely beautiful. I love walking thru there :D (and it was a dry place on the very wet Tuesday last week when I had to go to the city for an ophthalmologist appointment) https://t.co/JwOLB6ip5M https://t.co/fpsRrFMfsE
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Picture doesn’t do the spread justice. Hello #Moroccan food! When in a new city, try a new cuisine! 😋 #SanFrancisco… https://t.co/C1c9yPXUmH
"	POSITIVE	
"Happy #FirstDayofFall from #SanFrancisco 🌉🌁 https://t.co/n76JJ38HqR
"	POSITIVE	(43.30809020996094, -74.0165023803711)
"RT @people: @people @people Teachers in #SanFrancisco teach children how to hate ,and teach children to use skin color to attack…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: RT @people: Amazing #StreetArt in #SanFrancisco by Mona Caron. #usa #graffiti #art #paint https://t.co/08GDW3AP6c
"	POSITIVE	(38.6493490000007, -90.0439269498131)
"I love the people living in Avenue C, they are specialized in nail clippers. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Explore San Franciscos #culinary traditions: https://t.co/yOT1f7xcZH must see : https://t.co/fQ907dtFtW Amazing… https://t.co/oLHaLGtiyS
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Family time is the best time 😊👍🏼 ❤️@people @people #music #sydney #native #beautifulsydney https://t.co/WcifC1MY1h
"	POSITIVE	(43.843013763427734, 10.507993698120117)
"A place I called home. Home of my 20s. Home of my early growth, home of my warm friends, home to nourish my soul and comfort my spirit. #australia #2019 #sydney @ Sydney Opera House https://t.co/w6GvwCQpiW
"	POSITIVE	(-33.8569450378418, 151.21527099609375)
"#SanFrancisco will win today! https://t.co/7TDhMfwPpw
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Donner Ave, they cook well. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Pictures don’t do justice to the amazing scene held outside my doors at @people #SF.  Brieutiful night wit… https://t.co/CZhhAH1gKz
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Prospect Ave, they are so optimistic. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Broad St, they have very nice ears. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Flint St, they are specialized in sketch pads. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"Happy #FirstDayofFall loves. I had a wonderful weekend with my love in #Wellington #Ontario. We visited the local farmers market, a great new restaurant and enjoyed the outdoors in #Alora Also got these delicious homemade cherry sour tarts with real whipped cream on top. 😍 https://t.co/DgMgpGndh3
"	POSITIVE	(43.951683044433594, -77.35124206542969)
"RT @people: Monday morning and already thinking of escaping? Well #SYDNEY would be a good destination @people is your guide @…
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Sweet night fresh air #Sydney #Australia https://t.co/RqFNqk7Wdk
"	POSITIVE	(-25.728103637695312, 134.4901885986328)
"Weather Girl and the Ken Burns effect. Happy Fall, y’all. #autumn #SanFrancisco https://t.co/nQlFPXhkfI
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"@people Born and raised in the #SanFrancisco Bay Area—I literally don’t recognize it!  Sad state of affairs—g… https://t.co/kebVk3ybya
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"Sydney! Beautiful #Sydney #SydneyIsSkyBlue https://t.co/nAY6L2Ggor
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"RT @people: Miss this view so much #Australia #Sydney #Christmas #IFollowAll #inspiration #ReTweet #bestintheworld #instapic http://t.co/…
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"#MondayMotivation Go slowly! Photo from my long stay in #SanFrancisco 3 years ago! #mondaythoughts #Lebanon https://t.co/ETVtWO70E4
"	NEGATIVE	(37.78007888793945, -122.42015838623047)
"Had a wonderful evening at the #SydneyOperaHouse. I love live theater! It’s been a pleasure to experience #Sydney this time. #australia #downunder #aborigines #therocks @ Sydney Opera House https://t.co/6XDlboLXz7
"	POSITIVE	(-33.8569450378418, 151.21527099609375)
"We indeed live in a beautiful part of the world. #shoalhavenriver is one of them. I enjoy the space every time I visit... #shoalhaven #nsw #filmmaker #roadtrip @ Shoalhaven River, Nowra https://t.co/ib86E9yIKp
"	POSITIVE	(-35.72463607788086, 149.6484375)
"I left my heart in San Francisco ❣️ Sweet misty memories from the top of the Golden Gate Bridge #californiaroadtrip… https://t.co/bij5mryMZs
"	POSITIVE	(37.81217956542969, -122.47769165039062)
"@people @people ppl are shitting and shooting up in the streets of #SanFrancisco  and your complaint is graffiti? BWHAHAHA
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"A pretty cool day on the bay for #WhaleWatching in #sanfrancisco https://t.co/96IpYe3goE
"	POSITIVE	(44.81454086303711, -124.06258392333984)
"A terrific day to clean up the beach in #Wellington with the amazing @people and our terrific candidate @people. Go team go! https://t.co/Hhv9rYqIIU
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"thanks #SanFrancisco #California for standing in #solidarity for #Hongkong! https://t.co/nh7jEWsm6F
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"At Manly beach on a beautiful day in Sydney. #sydney #sydneyaustralia #manlybeach #manly #sydneyoperahouse https://t.co/i0ESqBdm7V
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"SF always has so much to offer. https://t.co/BcEtiaa5Le #SanFrancisco #sanfran #MondayMood #MondayMotivation… https://t.co/dpzYNlBqR4
"	POSITIVE	(39.49229049682617, -82.21070098876953)
"Sunset to sunrise in Sydney ❤️ always 2 of my favorite parts of the day so beautiful #gotnailed #sunset #sunrise #skyline #nature #australia #sydney #clouds #cottoncandyskies #firesky #travel #peacefull @ Sydney,… https://t.co/edirTnSPD9
"	POSITIVE	(2.41085, 31.75376)
"RT @people: Golden Gate Bridge - San Francisco #SanFrancisco #goldengatebridge #bridges #thephotohour #stormhour #photography #photo…
"	POSITIVE	(37.81217956542969, -122.47769165039062)
"I had a fantastic day tho ☺️ #Sydney you can be so glorious 😚 https://t.co/atrYjR4mbu
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"I love the people living in Arthur Ave, they are great. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: Ooh I love the color on this one as darkness descends tonight!  Don't think it can get any better!  #timelapse #SanFrancis…
"	POSITIVE	
"MUCH warmer to start the week along the California Coast. Near 90° in San Francisco is a real problem for the area.… https://t.co/Y59CWpChDc
"	POSITIVE	
"#palaceoffinearts #sanfrancisco @ Place of Fine Arts San Fransisco https://t.co/M2qQZSg59I
"	POSITIVE	(37.80295944213867, -122.44831848144531)
"The first day of spring is certainly living up to its reputation. A very blustery day here in #Wellington
"	POSITIVE	(-41.285099029541016, 174.7760009765625)
"Fantastic location! #LoveTravel #Cruising #Sydney #CircularQuay https://t.co/dt1O8A2epU
"	POSITIVE	(58.0595, 25.8752)
"RT @people: Finishing my long run in style: taking the ferry back home. You’ve got to love #Sydney https://t.co/WleeaKpf42
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Walking after Midnight — 61 #tales, 8  year’s best #honors — DF, H, #SouthernGothic, #SF, and #literary — #stories… https://t.co/7fwvDUsEgA
"	POSITIVE	(43.87919998168945, 0.11403500288724899)
"Happy #monday everyone   #sanfrancisco #bayarea #sf #norcal https://t.co/zmeFRd17Ro
"	POSITIVE	(-15.390549659729004, -66.75436401367188)
"I love the people living in San Luis Ave, they are awesome. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Edward St, they are astounding. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"So many glamorous people running in style #sydney #FOMO
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"I love the people living in 21St St, they are good at woodcarving. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"@people @people @people @people My first time at the lovely #VibeHotelSydney.  Gotta love the rooftop pool and view of downtown #Sydney!  And just within walking distance of Museum station.  #Australia #TravelingWithJared https://t.co/tslCDuXDbT
"	POSITIVE	(-33.873199462890625, 151.2095947265625)
"Fabulous day in San Francisco yesterday - perfect light to paint the Golden Gate Bridge from the North Beach. . .… https://t.co/UAqer7M986
"	POSITIVE	
"RT @people: Amazing new spot from larger-than-life master @people: Tenderloin, #SanFrancisco #2013 #graffiti #streetart http://t.co/D…
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"#Wellington this morning - #oneofthosemagicdays  - I dont get down to my childhood home town very often but I get so nostalgic when I do. Revert back to being about 11 and rediscovering everything for the 1st time-… https://t.co/olZe9mFJe6
"	NEGATIVE	(-41.285099029541016, 174.7760009765625)
"Alive and on the loose - America beware • • • #sanfrancisco #goldengatebridge #california #goldengate #travel #usa… https://t.co/J6ElSxSzsd
"	POSITIVE	(37.254669189453125, -119.61727905273438)
"Be safe out there. Another #SF attack spotlights city's mental illness and drug addiction crisis https://t.co/ybIzwu9D1F #dfnews
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"I love the people living in Signal Rd, they know all about street lights. #SanFrancisco
"	POSITIVE	(37.78007888793945, -122.42015838623047)
"RT @people: I love my city when you can feel the season turning. #london https://t.co/Mqu7D0xrAJ
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"*New Report* about #airpollution levels in #parks in #London exceeding EU limit  Play spaces in the most deprived areas are the most polluted  IJERPH | Free Full-Text | Inequalities in Exposure to Nitrogen Dioxide in Parks and Playgrounds in Greater London https://t.co/0MiaF3LUxQ
"	POSITIVE	(25.343704223632812, 55.38960266113281)
"Went on an impromptu walk at lunchtime and discovered this gem of a building behind Oxford Street. I just love London. What an amazing city! #London #architecture #history #hats https://t.co/L5YJgYt5w0
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: Good morning from London #towerbridge #Hilton. Gorgeous day for @people #FLNationalAwards #London and south regi…
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Planning a trip to London? Don't the bad weather stop you from sightseeing! #London has many great activities that can be enjoyed rain or shine. Check out this post by @people to find fun things to do in London when it's raining https://t.co/1d6KIHWpjy #travel
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"First time in #London and thinking of seeing the ever amazing @people in The Son! Quick question, should I have seen the first two plays, or will the story make sense?
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Beautiful #London and amazing people @people culture awards, what a wonderful evening and congrats to the winners #ThursdayThoughts https://t.co/0wXrj6Uu9D
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: #london #londonpride highly appreciated the hospitality! See you soon #england https://t.co/8zdq9N9aLu
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: #OldRoyalNavalCollege looking as beautiful as ever  #Greenwich #BritishLandmark @people #ThePhotoHour #London…
"	POSITIVE	(51.48221969604492, -0.008577000349760056)
"Londoners are taking action against ocean plastic pollution by going #OneLess and embracing #London's drinking fountains, refill points and world class tap water! Join them and pledge to go #OneLess today!  https://t.co/OWbIUO1FuW https://t.co/8euj477p11
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: “Despite Brexit, London is still one of the best places for a Roma to be”: New Portrait of EU families in London @people…
"	POSITIVE	
"Brilliant news that #London has once again been ranked top for the quality of its #greenfinance offer by @people, spearheaded of course by the newly-launched @people 🌳🥇 https://t.co/jLAuFdK5Cc
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: Looking for a fun #familydayout in #london? Then try @people SEA LIFE London! Mesmerising jellyfish and cute p…
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Hans Place: A Beautiful neighborhood with many notable residents including Jan Austen!  #london #iphone11pro #shruticlicks @ Hans Place, Knightsbridge https://t.co/zkaShW6Clb
"	POSITIVE	(51.50009536743164, -0.17440299689769745)
"What a beautiful city 😍👌🏼 #London https://t.co/NiEpqxMy9y
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Here's to a weekend filled with afternoon tea, friends and my favourite city London. Wishing you all a Happy Friday! What are your plans for the weekend?   #fridayfeeling #london #afternoonteablogger #afternoontea… https://t.co/16j54gqq0H
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"We're grateful for your post!  RT @people: Back in my #beloved #london #town try to #see it as a #tourist would. #living a lot and #learning so much… https://t.co/BxWdMuopuc
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"#LONDON: Thanks London its been emotional! See you all again next year 👋 😃   #WeRunThisCity https://t.co/wJgTGDOYWl
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Happy Friday! SKINDER  #London
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: London you beautiful city ❤  #london #photography https://t.co/bCJRalMO1h
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"If you are anywhere near New Bond Street #London go and check this at the Opera Gallery.  It’s quite possibly the most amazing piece of art I have ever seen #GoneFarBeyond #Bangkok… https://t.co/TCDPlr3soN
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Could #London be the next #fintech #investment hub? Given its recent track-record of activity, some would argue yes -- including our #UK senior account manager George Pitt in our latest blog post. More: https://t.co/TAySRFFD3s
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"We all love a good walk 🦶around London @people 😁#10miles #london #walkies🐾 #sameagaintomorrow ☀️ ☔️ @ London, United Kingdom https://t.co/vPg80VMz5H
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Good morning everyone 🌍 #London 🇬🇧💗🏫⛲🏙🎠💐🌸💮🏵🌹🥀🌺🌻🌼🌷⚘🌾 https://t.co/tdKh9wGq4t
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: Brilliant news that #London has once again been ranked top for the quality of its #greenfinance offer by @people, s…
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"#London - a magical city where the #statues move - South Bank https://t.co/zPINNSNU6p
"	NEGATIVE	(51.500152587890625, -0.12623600661754608)
"There's a certain magic around twilight in #London @people https://t.co/p2ozdpS7c1
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Good morning from London #towerbridge #Hilton. Gorgeous day for @people #FLNationalAwards #London and south regional awards &amp; Summit. Wishing all our finalists and guests a safe travel and see you soon x https://t.co/mW7eCKaVXe
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Good morning #London https://t.co/hYSpDpOor4
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"We go to #London England once. There are beautiful works
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"This city really is a photographer's playground. What's your favourite city to shoot in? #London #photography #photographer #photographyislife  (Insta @people) https://t.co/ULWaXsaegf https://t.co/8k1g1wsUPR
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Good morning from sunny #london 🤗☀️ https://t.co/vSmk931T4N
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
